"positive","game of thrones","@DJSincro my brother wants to hear the Game of Thrones theme or the Imperial March #vancanadians"
"negative","psp","The new PSP looks crap!  Such a disappointment after the conceot pics that were floating around "
"negative","apple","should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience"
"positive","conor mcgregor","Want to be part of the excitement this December for the Conor McGregor fight? - http://eepurl.com/bvZ9MP "
"neutral","microsoft","Tool  to allow users to apply #DataQuality rules directly from MS Excel. Learn more @infamarketplace. http://t.co/jkZqrnO6 #Excel #Microsoft"
"negative","windows 10","C'mon Windows, I just want to update to Windows 10. Is that so much to ask for?"
"positive","ipad","Did you know you can split the keyboard on your iPad? I didn't. Here are some Ninja tricks for the iPad you may... http://fb.me/6MVS2dPYX "
"positive","apple","@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!"
"positive","digi","The good news is that December 4th I'm going to Atlanta for Digi so we all good"
"neutral","twitter","WHTS GOIN ON #TWITTER FAM"
"positive","bentley","Bentley makes a tough jumper as she is getting pushed. Sun still hanging around, 85-78. #LetsGoSun."
"negative","jeb bush","@marklevinshow presented summation of costs that may be associated w/ building wall on the southern border. WAY less than Jeb Bush stated"
"neutral","microsoft","#Microsoft CEO Steve Ballmer on Not Buying Yahoo: “Sometimes, You’re Lucky” » http://t.co/pxHqdSav"
"neutral","twitter","Wishing I can sleep all day 2morrow but I got practice... GN #Twitter"
"positive","disneyland","Who's down for Disneyland with @Hellojaninee and I for my birthday on Thursday?!"
"negative","apple","“@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.” in NZ?"
"negative","xbox","@KonamiSupport yo wtf why can't you fix the severs on Xbox one for fob it's September 9th and again can't get on"
"neutral","twitter","@spicebugsmom A few more for you to follow: @aims7 @alirushton @dillyh @Oprah @timescolonist @JohnCleese ...Welcome to Twitter mums "
"negative","harper","Does Harper even realize there in 3rd place! Talk about burying you head in the sand... Stay the course... Of lies and deceit! #cdnpoli"
"positive","apple","So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac"
"neutral","apple","3 principal global players will be active in every market...@Amazon, @Apple, & @Kobo. #fbf11 #publaunch @MikeShatzkin http://t.co/1ndxcMO1"
"positive","game of thrones","I may or may not have put a song from the Game of Thrones soundtrack on the playlist for the yoga class I'm teaching tonight."
"positive","bentley","Come out to the Bentley trade show tomorrow. It'll be a rainy day so this is the perfect event for you. I have... http://fb.me/3gMqaEVgl "
"neutral","apple","Waiting at end of 20 person line after checking in on time for my genius bar appt. @apple store...I do not find this system genius #FAIL"
"positive","eric church","Note to self for tomorrow: Come to Tim McGraw much earlier than you did for Eric Church... The track entrance is moving SLOW."
"neutral","apple","Lol @Apple support playing Mary J Blige during the wait time."
"negative","apple","@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!"
"positive","harry potter","October 6th can't come any faster... I will be eating a McMuffin at noon while reading the new, fully illustrated Harry Potter book. #nerd"
"positive","google","Good to see #Google finally turning their focus on user experience. http://t.co/AYhOKgo8 #IceCreamSandwich #Android"
"negative","obama","Follow the money. Some of that $150B release to Iran is going to an Obama account! Think about it. https://twitter.com/DanScavino/status/641361871304454145 …"
"positive","t-mobile","Hopefully T-Mobile calls me tomorrow I want that new phone.."
"positive","twitter","fuck that facebook bullshit. #twitter bitch"
"positive","tom cruise","EDGE OF TOMORROW, Hiroshi Sakurazaka, $5.99. Staff pick! Also a Tom Cruise movie but we don't care so much about that pic.twitter.com/GsNf1uZXO1"
"neutral","google","#SEO Tip:Meta nofollowed or robots.txt blocked pages DO receive pagerank juice when they get links. #google"
"neutral","apple","@notleifgarrett @apple wished their on hold music played Pictures of You."
"neutral","google","http://t.co/18xg3ivo! #Google’s Ice Cream Sandwich Official http://t.co/7h5YdQCN #android #icecreamsandwich"
"positive","eric church","Eric Church Friday night with my wife @CantSeeApparel #pimpnjoy #americastrong pic.twitter.com/w3hz0BzFZN"
"negative","billy cundiff","If any Baltimore team mascots come up missing 1st person of interest should be Billy Cundiff! Or the Redskins mascot is taken blame him!"
"negative","amazon prime day","Well Amazon Prime Day kind of sucked, didn't it? I was hoping for much more. Bigger than Black Friday, huh?"
"negative","@microsoft","I thought @Microsoft was retiring the Lumia line to give way to Surface Mobile? I guess not. https://twitter.com/TechnoBuffalo/status/634364527262437376 …"
"negative","monsanto","Monsanto's Roundup not good for you http://www.rt.com/usa/313806-monsanto-roundup-kidney-damage/ … #Monsanto"
"positive","disneyland","I want to go to disneyland tomorrow. I'm always there tho.. it's getting creepy. Bahahaha"
